system:index,actual_yield_baseline,county,elevation,et_mean,evi,gdd_total,latitude,longitude,ndvi,precip_total,soil,year,yield_value,.geo
4346,2.5586743354797363,Nakuru,2482.0,22.07391357421875,0.4206327497959137,931.31884765625,-0.6694421168341015,36.52105723440206,0.5922621488571167,1155.636474609375,4.0,2024,2.5586743354797363,"{""type"":""Point"",""coordinates"":[36.52105723440206,-0.6694421168341015]}"
4350,4.36099910736084,Nakuru,2767.0,24.213043212890625,0.36840203404426575,801.3780517578125,-0.5872218704258122,35.96865410779689,0.5933040976524353,1120.51123046875,4.0,2024,4.36099910736084,"{""type"":""Point"",""coordinates"":[35.96865410779689,-0.5872218704258122]}"
4358,3.354602098464966,Nakuru,2386.0,22.369565963745117,0.385568767786026,1109.161865234375,-0.8591953970711992,36.52521953837778,0.5919939875602722,1136.390625,4.0,2024,3.354602098464966,"{""type"":""Point"",""coordinates"":[36.52521953837778,-0.8591953970711992]}"
4360,5.080600261688232,Nakuru,1921.0,20.560869216918945,0.38579061627388,1171.51220703125,-0.5842236076212357,36.36089493947928,0.5707014203071594,598.866943359375,4.0,2024,5.080600261688232,"{""type"":""Point"",""coordinates"":[36.36089493947928,-0.5842236076212357]}"
4363,5.308465003967285,Nakuru,1706.0,18.430435180664062,0.3057360351085663,1691.5689697265625,0.17341129981882827,36.239373664460494,0.5085514783859253,790.5244750976562,1.0,2024,5.308465003967285,"{""type"":""Point"",""coordinates"":[36.239373664460494,0.17341129981882827]}"
4366,3.8231406211853027,Nakuru,2111.0,22.017391204833984,0.30684614181518555,1130.5069580078125,-0.7427463503460453,36.17865393811688,0.4930514991283417,925.4761352539062,4.0,2024,3.8231406211853027,"{""type"":""Point"",""coordinates"":[36.17865393811688,-0.7427463503460453]}"
4367,4.624154567718506,Nakuru,1796.0,20.856521606445312,0.39509838819503784,1385.095458984375,-0.9905151697247708,36.544255068939215,0.5817973613739014,824.224853515625,4.0,2024,4.624154567718506,"{""type"":""Point"",""coordinates"":[36.544255068939215,-0.9905151697247708]}"
4373,4.552427291870117,Nakuru,1926.0,21.439130783081055,0.36609014868736267,1109.161865234375,-0.9485920087940429,36.5305211897188,0.500426709651947,1141.9552001953125,6.0,2024,4.552427291870117,"{""type"":""Point"",""coordinates"":[36.5305211897188,-0.9485920087940429]}"
4376,6.747839450836182,Nakuru,1914.0,19.434782028198242,0.3577488362789154,1366.1861572265625,-0.2530477491508188,36.143908096769465,0.5366395115852356,791.0906982421875,1.0,2024,6.747839450836182,"{""type"":""Point"",""coordinates"":[36.143908096769465,-0.2530477491508188]}"
4393,4.867490768432617,Nakuru,1964.0,21.982608795166016,0.3204871416091919,1380.60546875,-0.5713436809027246,36.171657839342686,0.5011964440345764,720.8082275390625,4.0,2024,4.867490768432617,"{""type"":""Point"",""coordinates"":[36.171657839342686,-0.5713436809027246]}"
4401,5.062442302703857,Nakuru,2749.0,20.03913116455078,0.2823517918586731,694.8674926757812,-0.36852585438675334,35.69178468464816,0.40422824025154114,1036.11962890625,4.0,2024,5.062442302703857,"{""type"":""Point"",""coordinates"":[35.69178468464816,-0.36852585438675334]}"
4402,6.404721260070801,Nakuru,2038.0,23.004348754882812,0.3012048900127411,1609.933837890625,-0.23590969903241077,36.01338006673868,0.4241030514240265,871.6436767578125,4.0,2024,6.404721260070801,"{""type"":""Point"",""coordinates"":[36.01338006673868,-0.23590969903241077]}"
4406,5.546515464782715,Nakuru,1846.0,18.31739044189453,0.1742633879184723,1523.544189453125,-0.1092244949049841,36.12820988060586,0.3209148943424225,929.5658569335938,1.0,2024,5.546515464782715,"{""type"":""Point"",""coordinates"":[36.12820988060586,-0.1092244949049841]}"
4412,5.271904945373535,Nakuru,1677.0,17.62173843383789,0.2068876326084137,1523.544189453125,-0.06232696267245385,36.08730481085857,0.3903491199016571,789.4463500976562,1.0,2024,5.271904945373535,"{""type"":""Point"",""coordinates"":[36.08730481085857,-0.06232696267245385]}"
