system:index,actual_yield_baseline,county,elevation,et_mean,evi,gdd_total,latitude,longitude,ndvi,precip_total,soil,year,yield_value,.geo
2758,6.5612688064575195,Trans Nzoia,1778.0,24.53913116455078,0.40255677700042725,1565.9140625,0.9477064425175571,34.87718713805596,0.5662477016448975,1014.7183227539062,1.0,2024,6.5612688064575195,"{""type"":""Point"",""coordinates"":[34.87718713805596,0.9477064425175571]}"
2760,7.202858924865723,Trans Nzoia,1844.0,20.65217399597168,0.3870058059692383,1653.9757080078125,1.2303019881387158,34.83521079522323,0.54768306016922,881.7891235351562,1.0,2024,7.202858924865723,"{""type"":""Point"",""coordinates"":[34.83521079522323,1.2303019881387158]}"
2762,7.719412326812744,Trans Nzoia,1893.0,20.939130783081055,0.33465173840522766,1311.3265380859375,1.0287732983785818,35.01301476575028,0.5174029469490051,895.3138427734375,1.0,2024,7.719412326812744,"{""type"":""Point"",""coordinates"":[35.01301476575028,1.0287732983785818]}"
2763,6.096550941467285,Trans Nzoia,1912.0,21.939130783081055,0.401213675737381,1362.5670166015625,1.0506319811052334,35.20564509921345,0.5706406235694885,1157.1868896484375,1.0,2024,6.096550941467285,"{""type"":""Point"",""coordinates"":[35.20564509921345,1.0506319811052334]}"
2767,6.598622798919678,Trans Nzoia,1942.0,22.282608032226562,0.25636300444602966,1532.4256591796875,1.1195541502913469,34.814031262946635,0.40022221207618713,853.085205078125,1.0,2024,6.598622798919678,"{""type"":""Point"",""coordinates"":[34.814031262946635,1.1195541502913469]}"
2768,7.299296855926514,Trans Nzoia,1781.0,23.10869598388672,0.44536569714546204,1388.3951416015625,0.9087092913973074,34.959116760926946,0.5451047420501709,1042.5777587890625,1.0,2024,7.299296855926514,"{""type"":""Point"",""coordinates"":[34.959116760926946,0.9087092913973074]}"
2771,7.342150688171387,Trans Nzoia,1883.0,24.234783172607422,0.403738409280777,1640.1566162109375,1.1883642291065215,34.933145200455556,0.5277566313743591,964.7963256835938,1.0,2024,7.342150688171387,"{""type"":""Point"",""coordinates"":[34.933145200455556,1.1883642291065215]}"
2773,6.637065410614014,Trans Nzoia,1931.0,24.60869598388672,0.36653831601142883,1303.348388671875,1.1827607478424196,35.022259952100185,0.5437787175178528,860.8521118164062,1.0,2024,6.637065410614014,"{""type"":""Point"",""coordinates"":[35.022259952100185,1.1827607478424196]}"
2774,7.566648006439209,Trans Nzoia,1836.0,22.22608757019043,0.38616910576820374,1587.5098876953125,1.1036861358313668,34.916304600524256,0.4910680651664734,960.1989135742188,1.0,2024,7.566648006439209,"{""type"":""Point"",""coordinates"":[34.916304600524256,1.1036861358313668]}"
2780,7.423379898071289,Trans Nzoia,1835.0,21.913043975830078,0.4041613042354584,1587.5098876953125,1.0730988346002845,34.919402866577904,0.5834862589836121,961.76513671875,1.0,2024,7.423379898071289,"{""type"":""Point"",""coordinates"":[34.919402866577904,1.0730988346002845]}"
